type_id,type_name,category_id,category_name,group_id,group_name,primary_index,sub_index
40520,Large Skill Injector,5,Accessories,1739,Skill Injectors,Consumer Price Index,Accessories
45635,Small Skill Injector,5,Accessories,1739,Skill Injectors,Consumer Price Index,Accessories
46375,Daily Alpha Injector,5,Accessories,1739,Skill Injectors,Consumer Price Index,Accessories
178,Carbonized Lead S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
179,Nuclear S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
180,Proton S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
181,Depleted Uranium S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
182,Titanium Sabot S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
183,Fusion S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
184,Phased Plasma S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
185,EMP S,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
186,Carbonized Lead M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
187,Nuclear M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
188,Proton M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
189,Depleted Uranium M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
190,Titanium Sabot M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
191,Fusion M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
192,Phased Plasma M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
193,EMP M,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
194,Carbonized Lead L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
195,Nuclear L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
196,Proton L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
197,Depleted Uranium L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
198,Titanium Sabot L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
199,Fusion L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
200,Phased Plasma L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
201,EMP L,8,Charge,83,Projectile Ammo,Consumer Price Index,Ammo
202,Mjolnir Cruise Missile,8,Charge,386,Cruise Missile,Consumer Price Index,Ammo
203,Scourge Cruise Missile,8,Charge,386,Cruise Missile,Consumer Price Index,Ammo
204,Inferno Cruise Missile,8,Charge,386,Cruise Missile,Consumer Price Index,Ammo
205,Nova Cruise Missile,8,Charge,386,Cruise Missile,Consumer Price Index,Ammo
206,Nova Heavy Missile,8,Charge,385,Heavy Missile,Consumer Price Index,Ammo
207,Mjolnir Heavy Missile,8,Charge,385,Heavy Missile,Consumer Price Index,Ammo
208,Inferno Heavy Missile,8,Charge,385,Heavy Missile,Consumer Price Index,Ammo
209,Scourge Heavy Missile,8,Charge,385,Heavy Missile,Consumer Price Index,Ammo
210,Scourge Light Missile,8,Charge,384,Light Missile,Consumer Price Index,Ammo
211,Inferno Light Missile,8,Charge,384,Light Missile,Consumer Price Index,Ammo
212,Mjolnir Light Missile,8,Charge,384,Light Missile,Consumer Price Index,Ammo
213,Nova Light Missile,8,Charge,384,Light Missile,Consumer Price Index,Ammo
215,Iron Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
216,Tungsten Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
217,Iridium Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
218,Lead Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
219,Thorium Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
220,Uranium Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
221,Plutonium Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
222,Antimatter Charge S,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
223,Iron Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
224,Tungsten Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
225,Iridium Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
226,Lead Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
227,Thorium Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
228,Uranium Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
229,Plutonium Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
230,Antimatter Charge M,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
231,Iron Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
232,Tungsten Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
233,Iridium Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
234,Lead Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
235,Thorium Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
236,Uranium Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
237,Plutonium Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
238,Antimatter Charge L,8,Charge,85,Hybrid Charge,Consumer Price Index,Ammo
239,Radio S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
240,Microwave S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
241,Infrared S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
242,Standard S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
243,Ultraviolet S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
244,Xray S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
245,Gamma S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
246,Multifrequency S,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
247,Radio M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
248,Microwave M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
249,Infrared M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
250,Standard M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
251,Ultraviolet M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
252,Xray M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
253,Gamma M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
254,Multifrequency M,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
255,Radio L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
256,Microwave L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
257,Infrared L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
258,Standard L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
259,Ultraviolet L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
260,Xray L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
261,Gamma L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
262,Multifrequency L,8,Charge,86,Frequency Crystal,Consumer Price Index,Ammo
263,Cap Booster 25,8,Charge,87,Capacitor Booster Charge,Consumer Price Index,Ammo
264,Cap Booster 50,8,Charge,87,Capacitor Booster Charge,Consumer Price Index,Ammo
266,Scourge Rocket,8,Charge,387,Rocket,Consumer Price Index,Ammo
267,Scourge Torpedo,8,Charge,89,Torpedo,Consumer Price Index,Ammo
269,Mjolnir Auto-Targeting Light Missile I,8,Charge,394,Auto-Targeting Light Missile,Consumer Price Index,Ammo
1810,Scourge Auto-Targeting Light Missile I,8,Charge,394,Auto-Targeting Light Missile,Consumer Price Index,Ammo
1814,Nova Auto-Targeting Light Missile I,8,Charge,394,Auto-Targeting Light Missile,Consumer Price Index,Ammo
1816,Inferno Auto-Targeting Light Missile I,8,Charge,394,Auto-Targeting Light Missile,Consumer Price Index,Ammo
1818,Scourge Auto-Targeting Heavy Missile I,8,Charge,395,Auto-Targeting Heavy Missile,Consumer Price Index,Ammo
1820,Mjolnir Auto-Targeting Heavy Missile I,8,Charge,395,Auto-Targeting Heavy Missile,Consumer Price Index,Ammo
1822,Nova Auto-Targeting Heavy Missile I,8,Charge,395,Auto-Targeting Heavy Missile,Consumer Price Index,Ammo
1824,Inferno Auto-Targeting Heavy Missile I,8,Charge,395,Auto-Targeting Heavy Missile,Consumer Price Index,Ammo
1826,Scourge Auto-Targeting Cruise Missile I,8,Charge,396,Auto-Targeting Cruise Missile,Consumer Price Index,Ammo
1828,Mjolnir Auto-Targeting Cruise Missile I,8,Charge,396,Auto-Targeting Cruise Missile,Consumer Price Index,Ammo
1830,Nova Auto-Targeting Cruise Missile I,8,Charge,396,Auto-Targeting Cruise Missile,Consumer Price Index,Ammo
1832,Inferno Auto-Targeting Cruise Missile I,8,Charge,396,Auto-Targeting Cruise Missile,Consumer Price Index,Ammo
2178,Guristas Nova XL Cruise Missile,8,Charge,1019,XL Cruise Missile,Consumer Price Index,Ammo
2180,Guristas Scourge XL Cruise Missile,8,Charge,1019,XL Cruise Missile,Consumer Price Index,Ammo
2182,Guristas Inferno XL Cruise Missile,8,Charge,1019,XL Cruise Missile,Consumer Price Index,Ammo
2188,Guristas Mjolnir XL Cruise Missile,8,Charge,1019,XL Cruise Missile,Consumer Price Index,Ammo
2506,Mjolnir Torpedo,8,Charge,89,Torpedo,Consumer Price Index,Ammo
2508,Nova Torpedo,8,Charge,89,Torpedo,Consumer Price Index,Ammo
2510,Inferno Torpedo,8,Charge,89,Torpedo,Consumer Price Index,Ammo
2512,Mjolnir Rocket,8,Charge,387,Rocket,Consumer Price Index,Ammo
2514,Inferno Rocket,8,Charge,387,Rocket,Consumer Price Index,Ammo
2516,Nova Rocket,8,Charge,387,Rocket,Consumer Price Index,Ammo
2613,Mjolnir Fury Light Missile,8,Charge,653,Advanced Light Missile,Consumer Price Index,Ammo
2621,Inferno Fury Cruise Missile,8,Charge,656,Advanced Cruise Missile,Consumer Price Index,Ammo
2629,Scourge Fury Heavy Missile,8,Charge,655,Advanced Heavy Missile,Consumer Price Index,Ammo
2637,Inferno Precision Cruise Missile,8,Charge,656,Advanced Cruise Missile,Consumer Price Index,Ammo
2647,Inferno Precision Light Missile,8,Charge,653,Advanced Light Missile,Consumer Price Index,Ammo
